TimeID,Time,intA,intB,intC,intD,StateID
265,"35,935",3,8,11,0,51
266,"36,020",3,8,0,0,49
267,"36,021",3,8,11,0,51
268,"36,549",3,11,0,0,54
269,"36,550",3,11,0,0,54
270,"36,629",3,11,0,0,54
271,"36,714",3,11,0,0,54
272,"36,715",3,11,0,0,54
273,"37,225",3,11,0,0,54
274,"37,226",3,11,0,0,54
275,"37,306",3,11,0,0,54
276,"37,307",3,11,0,0,54
277,"37,388",3,11,0,0,54
278,"37,878",1,8,0,0,17
279,"37,879",1,8,10,0,18
280,"37,959",1,8,10,0,18
281,"37,960",1,8,0,0,17
282,"38,028",1,8,0,0,17
283,"38,564",3,7,10,0,47
284,"38,565",3,7,0,0,46
285,"38,637",3,7,0,0,46
286,"38,638",3,10,0,0,53
287,"38,712",3,7,10,0,47
288,"39,506",1,4,0,0,6
289,"39,507",1,4,0,0,6
290,"39,516",7,10,0,0,74
291,"40,569",8,12,0,0,78
292,"41,699",3,8,11,0,51
293,"42,988",3,8,10,0,50
294,"43,065",3,8,10,0,50
295,"43,150",3,8,10,0,50
296,"44,458",3,8,0,0,49
297,"44,534",3,8,10,0,50
298,"44,624",3,8,0,0,49
299,"45,239",3,10,0,0,53
300,"45,240",3,8,0,0,49
301,"45,312",3,8,10,0,50
302,"45,398",3,8,0,0,49
303,"46,081",3,7,10,0,47
304,"46,170",3,10,0,0,53
305,"46,171",3,7,0,0,46
306,"46,256",3,7,0,0,46
307,"46,962",3,7,0,0,46
308,"47,066",3,7,0,0,46
309,"52,629",3,7,0,0,46
310,"53,515",7,11,0,0,75
311,"53,525",3,7,0,0,46
312,"54,054",1,4,0,0,6
313,"54,516",1,4,11,0,12
314,"55,080",1,3,0,0,1
315,"55,755",7,10,0,0,74
316,"55,775",1,3,0,0,1
317,"57,359",3,7,0,0,46
318,"57,577",7,11,0,0,75
319,"57,597",3,7,0,0,46
320,"58,787",2,5,0,0,27
321,"60,258",7,10,0,0,74
322,"60,279",1,3,0,0,1
323,"62,287",8,11,0,0,77
324,"62,694",3,8,0,0,49
325,"63,135",8,11,0,0,77
326,"63,538",8,11,0,0,77
327,"64,261",8,11,0,0,77
328,"64,656",5,7,0,0,63
329,"70,320",3,7,0,0,46
330,"72,644",1,4,0,0,6
331,"76,087",7,11,0,0,75
332,"76,296",3,4,0,0,34
333,"76,856",4,11,0,0,62
334,"77,317",2,3,0,0,22
335,"77,784",2,5,0,0,27
336,"78,196",1,3,0,0,1
337,"81,092",3,11,0,0,54
338,"81,441",1,4,0,0,6
339,"84,096",3,10,0,0,53
340,"87,351",7,10,0,0,74
341,"89,251",3,11,0,0,54
342,"91,208",2,10,0,0,32
343,"91,217",7,8,0,0,73
344,"93,732",3,7,0,0,46
345,"93,733",3,7,10,0,47
346,"93,734",3,10,0,0,53
347,"93,801",3,7,0,0,46
348,"93,802",3,7,10,0,47
349,"93,896",3,7,10,0,47
350,"94,702",3,8,0,0,49
351,"94,703",3,5,0,0,36
352,"95,178",3,5,0,0,36
353,"95,179",3,5,8,11,39
354,"95,712",3,7,10,0,47
355,"95,780",3,7,10,0,47
356,"95,856",3,7,0,0,46
357,"95,857",3,7,10,0,47
358,"96,504",3,5,8,0,37
359,"96,943",3,5,8,11,39
360,"97,425",3,7,10,0,47
361,"97,506",3,7,10,0,47
362,"97,507",3,10,0,0,53
363,"97,577",3,7,10,0,47
364,"98,472",3,8,0,0,49
365,"98,616",3,8,0,0,49
366,"98,760",3,8,0,0,49
367,"99,645",3,9,0,0,52
368,"99,738",3,9,0,0,52
369,"99,829",3,9,0,0,52
370,"100,823",3,10,0,0,53
371,"101,254",3,11,0,0,54
372,"101,328",3,8,11,0,51
373,"101,407",3,8,11,0,51
374,"102,039",3,8,11,0,51
375,"102,411",3,8,0,0,49
376,"102,412",3,8,11,0,51
377,"102,803",3,8,11,0,51
378,"102,886",3,8,11,0,51
379,"102,956",3,8,0,0,49
380,"102,957",3,11,0,0,54
381,"103,510",3,8,11,0,51
382,"103,852",3,8,11,0,51
383,"104,222",3,8,11,0,51
384,"104,223",3,8,0,0,49
385,"104,288",3,8,0,0,49
386,"104,289",3,8,11,0,51
387,"104,368",3,8,11,0,51
388,"104,969",1,8,0,0,17
389,"105,050",1,8,0,0,17
390,"105,051",1,8,0,0,17
391,"105,134",1,8,0,0,17
392,"105,698",2,8,0,0,29
393,"105,768",2,8,0,0,29
394,"106,377",3,8,0,0,49
395,"106,701",3,8,0,0,49
396,"107,044",1,8,0,0,17
397,"107,045",1,4,8,0,9
398,"107,112",1,4,8,0,9
399,"107,174",1,4,8,0,9
400,"107,175",1,8,0,0,17
401,"107,730",1,4,8,0,9
402,"107,731",1,4,8,0,9
403,"108,061",1,4,8,0,9
404,"108,062",4,9,0,0,60
405,"108,407",1,4,10,0,11
406,"108,492",1,8,0,0,17
407,"108,493",1,4,10,0,11
408,"108,571",1,8,0,0,17
409,"108,573",1,4,10,0,11
410,"109,062",4,8,0,0,58
411,"109,063",1,8,0,0,17
412,"109,384",1,8,0,0,17
413,"109,395",1,10,0,0,20
414,"109,396",4,10,0,0,61
415,"109,742",8,11,0,0,77
416,"109,752",4,8,11,0,59
417,"109,824",4,11,0,0,62
418,"109,897",4,11,0,0,62
419,"109,905",8,11,0,0,77
420,"110,389",8,11,0,0,77
421,"110,397",3,8,0,0,49
422,"110,398",3,11,0,0,54
423,"110,470",3,8,0,0,49
424,"110,477",3,8,0,0,49
425,"110,478",3,11,0,0,54
426,"110,544",3,8,11,0,51
427,"110,552",3,11,0,0,54
428,"111,035",3,8,11,0,51
429,"111,036",8,11,0,0,77
430,"111,345",3,8,0,0,49
431,"111,354",3,8,11,0,51
432,"111,665",3,8,0,0,49
433,"111,666",3,11,0,0,54
434,"111,956",2,8,11,0,31
435,"112,392",8,11,0,0,77
436,"112,393",3,8,11,0,51
437,"112,394",3,11,0,0,54
438,"112,525",3,8,11,0,51
439,"112,534",8,11,0,0,77
440,"112,632",3,8,11,0,51
441,"112,703",8,11,0,0,77
442,"112,712",3,11,0,0,54
443,"112,713",3,8,11,0,51
444,"112,786",3,11,0,0,54
445,"112,794",3,8,11,0,51
446,"112,862",3,8,11,0,51
447,"112,863",3,11,0,0,54
448,"112,940",3,8,11,0,51
449,"112,941",3,8,11,0,51
450,"113,084",3,8,0,0,49
451,"113,085",3,11,0,0,54
452,"113,259",5,8,0,0,64
453,"113,403",3,7,0,0,46
454,"113,404",1,10,0,0,20
455,"113,547",3,8,0,0,49
456,"113,549",3,11,0,0,54
457,"113,711",3,8,0,0,49
458,"113,868",4,8,0,0,58
459,"114,556",8,11,0,0,77
460,"114,879",8,11,0,0,77
461,"114,880",4,8,0,0,58
462,"114,882",4,8,11,0,59
463,"115,066",4,8,11,0,59
464,"115,067",4,8,11,0,59
465,"115,131",4,8,11,0,59
466,"115,133",4,8,11,0,59
467,"115,213",4,8,0,0,58
468,"115,215",4,8,11,0,59
469,"115,375",4,8,11,0,59
470,"115,450",8,11,0,0,77
471,"115,529",4,8,11,0,59
472,"115,678",4,8,11,0,59
473,"115,679",4,8,11,0,59
474,"115,847",8,11,0,0,77
475,"116,136",3,11,0,0,54
476,"116,293",3,6,11,0,45
477,"116,294",3,6,11,0,45
478,"116,369",3,6,11,0,45
479,"116,438",3,6,11,0,45
480,"116,439",3,11,0,0,54
481,"116,600",6,11,0,0,71
482,"116,674",3,6,0,0,42
483,"116,676",6,11,0,0,71
484,"116,752",3,6,0,0,42
485,"116,754",6,11,0,0,71
486,"116,894",3,6,0,0,42
487,"116,904",6,11,0,0,71
488,"116,905",3,11,0,0,54
489,"117,327",3,6,0,0,42
490,"117,329",3,10,0,0,53
491,"117,484",3,6,10,0,44
492,"117,485",6,10,0,0,70
493,"117,560",6,10,0,0,70
494,"117,561",3,6,10,0,44
495,"117,562",3,10,0,0,53
496,"117,637",3,6,0,0,42
497,"117,646",3,6,10,0,44
498,"117,648",6,10,0,0,70
499,"117,792",3,6,10,0,44
500,"117,794",3,10,0,0,53
501,"117,861",3,6,10,0,44
502,"117,863",3,10,0,0,53
503,"117,939",6,10,0,0,70
504,"117,940",3,10,0,0,53
505,"117,941",3,10,0,0,53
506,"118,088",3,6,0,0,42
507,"118,089",3,6,10,0,44
508,"118,246",6,10,0,0,70
509,"118,529",1,10,0,0,20
510,"118,539",6,10,0,0,70
511,"118,713",1,6,10,0,14
512,"118,714",6,10,0,0,70
513,"118,794",1,6,10,0,14
514,"118,863",1,6,10,0,14
515,"118,864",6,10,0,0,70
516,"118,996",1,10,0,0,20
517,"118,997",1,6,0,0,13
518,"119,083",1,10,0,0,20
519,"119,156",1,6,10,0,14
520,"119,313",1,6,10,0,14
521,"119,449",1,9,0,0,19
522,"119,450",6,9,0,0,69
523,"119,712",1,4,0,0,6
524,"119,968",1,8,0,0,17
525,"120,035",1,8,0,0,17
526,"120,036",4,8,0,0,58
527,"120,324",3,8,11,0,51
528,"120,478",3,8,11,0,51
529,"120,560",3,4,8,0,35
530,"120,636",3,8,0,0,49
531,"120,637",8,11,0,0,77
532,"120,914",3,5,10,0,40
533,"121,070",3,5,8,10,38
534,"121,132",3,5,8,10,38
535,"121,207",3,5,8,10,38
536,"121,355",3,5,8,10,38
537,"121,356",5,10,0,0,67
538,"121,429",3,5,8,10,38
539,"121,430",5,10,0,0,67
540,"121,500",5,8,10,0,65
541,"121,509",3,10,0,0,53
542,"121,666",2,10,0,0,32
543,"121,667",5,8,10,0,65
544,"121,740",2,8,10,0,30
545,"121,818",5,10,0,0,67
546,"122,679",7,10,0,0,74
547,"122,680",7,10,0,0,74
548,"122,790",3,7,10,0,47
549,"122,801",7,10,0,0,74
550,"122,802",3,10,0,0,53
551,"122,893",3,7,10,0,47
552,"122,894",7,10,0,0,74
553,"122,895",3,10,0,0,53
554,"122,983",3,7,11,0,48
555,"122,985",3,7,11,0,48
556,"123,058",3,7,11,0,48
557,"123,060",3,7,11,0,48
558,"123,121",3,7,10,0,47
559,"123,132",3,10,0,0,53
560,"123,199",3,7,10,0,47
561,"123,200",3,7,10,0,47
562,"123,274",3,7,11,0,48
563,"123,276",3,7,0,0,46
564,"123,350",3,7,0,0,46
565,"123,353",7,11,0,0,75
566,"123,427",3,10,0,0,53
567,"123,428",7,10,0,0,74
568,"123,430",3,7,10,0,47
569,"123,508",7,10,0,0,74
570,"123,510",3,7,10,0,47
571,"123,600",3,7,11,0,48
572,"123,603",3,7,11,0,48
573,"123,679",3,7,11,0,48
574,"123,682",7,11,0,0,75
575,"123,744",3,7,10,0,47
576,"123,746",3,7,10,0,47
577,"123,830",3,7,10,0,47
578,"123,832",3,7,10,0,47
579,"125,292",3,8,0,0,49
580,"125,293",3,8,11,0,51
581,"125,294",3,11,0,0,54
582,"125,370",3,8,11,0,51
583,"125,449",3,8,11,0,51
584,"125,451",3,11,0,0,54
585,"125,951",3,8,0,0,49
586,"125,952",3,8,11,0,51
587,"126,027",4,8,11,0,59
588,"126,028",4,11,0,0,62
589,"126,093",8,11,0,0,77
590,"126,094",4,11,0,0,62
591,"126,168",5,8,11,0,66
592,"126,248",5,8,0,0,64
593,"126,250",5,11,0,0,68
594,"126,674",3,6,0,0,42
595,"126,684",3,6,0,0,42
596,"126,685",3,11,0,0,54
597,"126,739",6,11,0,0,71
598,"126,750",3,6,0,0,42
599,"126,814",3,6,0,0,42
600,"126,815",3,6,11,0,45
601,"126,816",3,6,11,0,45
602,"127,282",1,8,0,0,17
603,"127,283",8,11,0,0,77
604,"127,349",8,11,0,0,77
605,"127,351",2,11,0,0,33
606,"127,427",2,8,11,0,31
607,"127,429",2,11,0,0,33
608,"127,494",3,8,11,0,51
609,"127,496",3,11,0,0,54
610,"127,564",3,8,11,0,51
611,"127,930",8,11,0,0,77
612,"127,931",4,11,0,0,62
613,"128,010",8,11,0,0,77
614,"128,011",4,11,0,0,62
615,"128,083",4,8,11,0,59
616,"128,583",3,5,11,0,41
617,"128,584",3,11,0,0,54
618,"128,651",3,5,8,11,39
619,"128,652",3,11,0,0,54
620,"128,737",3,5,8,11,39
621,"128,738",3,11,0,0,54
622,"129,225",2,6,8,11,28
623,"129,226",2,11,0,0,33
624,"129,305",2,6,8,11,28
625,"129,306",2,11,0,0,33
626,"129,373",2,6,8,11,28
627,"129,374",2,11,0,0,33
628,"129,829",1,10,0,0,20
629,"129,840",1,10,0,0,20
630,"130,147",3,6,8,12,43
631,"130,148",6,12,0,0,72
632,"130,471",1,4,8,0,9
633,"130,472",1,4,0,0,6
634,"130,549",1,4,8,0,9
635,"130,550",1,4,0,0,6
636,"130,615",1,4,8,0,9
637,"131,090",1,8,0,0,17
638,"131,161",1,4,9,0,10
639,"131,162",4,9,0,0,60
640,"131,231",4,9,0,0,60
641,"131,232",4,9,0,0,60
642,"131,301",4,10,0,0,61
643,"131,380",1,4,10,0,11
644,"131,381",4,10,0,0,61
645,"131,712",4,11,0,0,62
646,"131,713",4,11,0,0,62
647,"131,793",4,11,0,0,62
648,"131,794",4,11,0,0,62
649,"131,865",4,11,0,0,62
650,"132,314",1,4,6,0,7
651,"132,315",4,6,0,0,55
652,"132,384",1,4,7,0,8
653,"132,456",1,4,7,0,8
654,"132,542",4,8,0,0,58
655,"132,624",1,4,8,0,9
656,"132,935",1,4,9,0,10
657,"132,936",4,9,0,0,60
658,"133,007",1,9,0,0,19
659,"133,008",4,9,0,0,60
660,"133,082",1,4,9,0,10
661,"133,562",1,10,0,0,20
662,"133,637",1,8,0,0,17
663,"133,638",4,10,0,0,61
664,"133,707",4,10,0,0,61
665,"134,210",1,7,0,0,15
666,"134,211",4,10,0,0,61
667,"134,212",4,7,0,0,56
668,"134,281",1,7,0,0,15
669,"134,282",4,7,10,0,57
670,"134,351",1,7,10,0,16
671,"134,352",4,7,0,0,56
672,"134,813",1,3,7,0,2
673,"134,886",1,3,11,0,5
674,"134,969",1,3,7,0,2
675,"135,418",8,11,0,0,77
676,"135,495",3,8,0,0,49
677,"135,581",3,8,0,0,49
678,"135,720",2,4,8,11,25
679,"135,790",4,8,0,0,58
680,"135,791",4,11,0,0,62
681,"135,870",2,4,0,0,23
682,"135,871",4,8,0,0,58
683,"136,016",8,11,0,0,77
684,"136,586",8,11,0,0,77
685,"136,645",3,8,0,0,49
686,"136,723",8,11,0,0,77
687,"136,859",2,4,0,0,23
